,부서,사업명,제안취지,사업내용
96,,앞산고가교 터널 내부 및 입․출구 주변 안전사고 예방을 위한 경관개선사업,"- 앞산순환로는 대구의 수성구,남구,달서구를 연결하는 교통 핵심 순환 도로임<br>- 출퇴근 시간에는 엄청난 교통량으로 상습 정체가 일어나기도 함<br>- 신천대로 끝 구간에서 앞산순환로로 접어들면 우측 방음벽면은 경관디자인을 통해 보기 좋게 이미 개선되어 있음<br>- 앞산고가교터널 입구 주변옹벽과 터널 내부는 방음벽 부식등 도심경관을 해치고 있음<br>- 터널입구와 내부를 참신한 디자인으로 경관을 개선하여 운전자들의 답답함을 조금이라도 해소하기를 원함<br>- 터널 내부에서 외부로 나갈 때 조도 차이로 눈부심 현상이 심해 앞차와의 교통사고를 초래하기도 하니 교통사고 주의 경고 문구도 삽입하여 교통사고 예방",위치 :앞산순환로 현충삼거리 지점(남구 봉덕동) 앞산고가교 터널 내부 방음벽면 및 입출구주변 옹벽면 경관 개선 <br>○앞산고가교 터널 입구 경관개선<br>  - 앞산고가교 터널 입구를 디자인 경관개선 대상지 및 제안자 예시(안)<br>○앞산고가교 터널 내부 경관개선<br>  - 앞산고가교 터널 내부 디자인 경관개선 대상지 및 예시(안)
97,농산유통과,신천둔치에서  애완동물과 함께하는 펫티켓교육,신천 둔치에 많은 애견인들이 산책을 오는데 기본적인 펫티켓 교육과 함께 반려동물과 할수 있는 놀이소개와 같은 <br>프로그램이 있으면 애완동물과 함께 산책하는 사람들에게 유익할 것 같아요,신천 둔치에 많은 애견인들이 산책을 오는데 기본적인 펫티켓 교유과 함께 반려동물과 할수 있는 놀이소개와 같은 <br>프로그램이 있으면 애완동물과 함께 산책하는 사람들에게 유익할 것 같아요
98,체육진흥과,신천 물놀이장 조성,○ 신천 방치되어 있는 어린이놀이터 부지를 새로운 신천 물놀이장 조성,"□ 추진배경<br> ○ 침산동 인근 신천부지(경대교 인근)에 방치되어 있는 어린이놀이터 부지를 가족단위 방문객에게 여름철 새로운 명소 제공<br>□ 사업개요<br>   ○ 위    치 : 북구 침산동(경대교 인근)<br>   ○ 소요예산 : 300,000천원<br>   ○ 주요 내용<br>      - 물놀이장 바닥 조성 등 : 200,000천원<br>      - 물놀이 기구 등 설치 : 100,000천원"
99,기후대기과,월성공원 내 미세먼지 신호등  설치,"월성공원 내 미세먼지 신호등을 설치하여 구민들에게 공기질의 정보 , 건강정보 등을 <br>제공하여 구민건강 지킴이로서 구정홍보에 활용",- 월성공원 내 미세먼지 신호등을 설치(현재 신천둔치 및 서울 한강변 등에 이미 설치됨)    하여 구민들의 건강  지킴이로서의 역할 <br><br>- 향후 설치 성과를 분석하여 구내 공원으로도 확대 가능
100,체육진흥과,경대교 인근 에어로빅장 바닥교체,○ 3월에서 10월까지 경대교와 도청교 사이 신천강변 농구장에서 북구체육회 주관으로 에어로빅 교실을 운영하고 있음<br>○ 농구장 바닥이 단단한 우레탄 재질이어서 에어로빅 운동 시 부상의 위험이 있음,○ 바닥교체 공사 : 20백만원
101,,불법광고물 부착방지제 도포사업,"○  공공시설물인 가로등, 전신주, 교통신호기 등에 부착된 각종 불법광고물을 제거하고 재부착을 방지하는 불법광고물 부착방지제 도포사업을 추진하여 쾌적한 도시환경 조성에 기여","○ 사 업 비 :  20,000천원 정도<br> ○ 산출근거 <br>    범어3동 : Ｌ 〓 1.5kｍ, 120개 x 75,000원 〓 9,000,000원  <br>    고산1동 : Ｌ 〓 2kｍ, 140개 x 75,000원 〓 10,500,000원  <br> ○ 사업구간(범위) : 신천시장, 신매광장 등 주민들의 이용이 많은 지역   <br>                   ※세부적인 사업구간은 추후 변경가능<br> ○ 사업내용 : 불법광고물 부착방지제 도포<br>    * 이형효과가 우수한 합성제품(도료), 투명 또는 공공시설물과 명도가 동일한 색상 도포"
102,,안전시스템 강화를 통한 추락사고 및 낙하물 방지,신천대로 지하차도 벽면에 페인팅을 하여 지하차도 미관 개선<br>(경주 황성지하차도와 같이 페인팅하여 지하차도 미관 개선),"- 신천대로 지하차도 총 12개소로 구성<br>- 대구를 관통하는 주요 노선으로 대구를 상징할 수 있는 디자인, 캐릭터 등을 활용하여 페인팅하여 대구시 정체성 표현<br>- 신천대로 명칭에 맞게 신천관련 디자인 활용<br>- 안전운전관련 다양한 문구 활용가능<br>- 신천대로 지하차도 별 테마를 구성하여 하나의 스토리라인 구축"
103,,신천대로 인도 정비를 통한 보행환경 개선 및 안전사고 예방,"신천대로 인도부분에 가로수뿌리로 인한 보도블럭 손상(들뜸, 파손 등)구간에 대해 뿌리를 정비하여 보도블럭 평탄화 실시하여 안전사고 예방",- 현재 신천대로 팔달교~침산교 상동교방향으로 인도가 설치되어 있어 많은 주민들이 이용하고 있음.<br>- 인도 일부분이 가로수뿌리가 자라면서 보도블럭을 지속적으로 손상시키고 있음.<br>- 가로수뿌리 정비로 보행자 안전사고(넘어짐 등) 미연에 방지
104,,신천의 낮과 밤은 청계천보다 아름답다.,서울 청계천을 벤치마킹하여 젊은  신천의 낮과 밤을 관광 자원으로 활용,- 신천 돌다리 외  LED 징검다리 설치<br>-  버스킹 등을 할 수 있는 공연장소 마련
105,기후대기과,도심 운동 공간 미세먼지 알림 신호등 설치,"주요 운동 지역에 미세먼지 알림 신호등을 설치하여 야외 운동 적합한 날을 주민 스스로 인지할 수 있고, 자연스럽게 운동을 독려할 수 있는 효과를 얻음으로써 주민 건강생활 실천 도모.","대구 신천에 미세먼지 알림 신호등 설치한 것과 같이 달서구에서도 운동할 수 있는 공간에 주민들이 미세먼지뿐만 아니라 온도, 습도, 오존 상태 등을 알 수 있는 미세먼지 알림 신호등을 설치<br>미세먼지 농도에 따라 파랑(좋음), 초록(보통), 노랑(나쁨), 빨강(매우 나쁨) 4단계 색깔로 표시되어 쉽게 미세먼지 농도 파악 가능."
106,,어두운 급커브도로 및 위험한 회전교차로 개선사업,"인근 글램핑장(캠핑장)에 한번씩 다니는데, 도로가 많이 굴곡져 있고, 도로폭도 1차선밖에 없어서 좁고, 가로등도 없어서 너무 어둡고 위험한 것 같습니다. 야간 운행에서 많이 위험하다는 걸 느꼈습니다.<br>그리고, 김흥교차로라고 회전교차로가 있는데 도로가 너무 복잡하고 경사길이어서 빗길에 미끄러질수도 있고, 저도 처음에는 길을 잘못 들었던적도 많았었습니다. 초행길 또는 초보자의 경우 역주행 우려도 있는 것 같습니다. 부산이나 서울같은 곳을 가보면 위험한도로에 야간에 불이들어오는 표지들이 많이 설치가 되어있고, 인근지역인 경북 지역에 캠핑을 가봐도 밤에 불이들어오는 표지가 진짜 잘 설치가 되어있어 야간운전에 진짜 도움이 많이됩니다. 그러나 대구에는 별로 설치가 되어 있는 곳이 없는 것 같습니다. 성서에서 서대구ic가는 신천대로 길에 있었던 것 같긴합니다.","일단 차량운행이 많은 김흥교차로(회전교차로)의 각방향별 교통표지를 요즘에 설치가 많이되고 있는 야간에 불이 들어오는 태양광 발광형표지로  미끄럼방지표지, 역주행금지표지, 길을 잘 확인하고 가도록 도로안내표지 등의 교체설치가 필요하고, 위 김흥리 403-3번지 일대의 굴곡도로에도 도로가 굴곡되었다는 위험표지와 교통안내표지를 설치하여 운전자가 미리 도로의 위험을 감지하고 대비할 수있도록 사고예방을 했으면 합니다. <br>김흥리 만이 아닌 대구 외곽지역으로 어둡고 위험한 도로에는 순차적으로 적용했으면 좋겠습니다."
107,환경정책과,앞산 및 신천 야생 동식물 조사 및 도감 발행,앞산과 신천의 야생동식물 형태 및 생태 조사기록 및 보존을 위한 생태도감 발행하여 우리지역의 자연을 보존하고 자라나는 다음 세대를 위한 자료로 활용되었으면 합니다.,앞산과 신천의 야생동식물 형태 및 생태 조사기록 및 보존을 위한 생태도감 발행
108,문화콘텐츠과,신천변 야외 영화상영,"대구 시민이 즐겨찾는 신천, 날씨좋은 가을 저녁에 영화를 상영하여 일반주민 및 문화 소외계층에게 가을밤의 낭만과 여유를 만끽할 수 있도록 영화상영을 제안합니다.",신천변에 영화 상영을 통해 야외문화공간 조성
109,,공영자전거 대여 서비스,자전거가 없는 사람도 대여를 통해 신천둔지를 이용하여 운동 할 수 있도록 함.,동구처럼 신천둔지에 자전거 대여소를 두어 자전거가 없는 사람도 여가시간을 즐기거나 운동을 하기위해 자전거를 일정시간 동안 대여하여 건강한 생활을 할 수 있도록 하였으면 좋겠습니다.
110,,동구 소재 노상주차장 주차면 재도색,"집이 동구 해안역 부근이라 동구에 있는 노상 공영주차장을 자주 이용하고 있습니다. 그런데, 주차장이 조성된 지 오래 되어서인지 선이 바래 주차면인지 아닌지 구분하기 어려운 경우가 많습니다. 노후 된 주차면을 깔끔하게 도색을 해서 시민들이 보다 편리하게 이용가능하면 좋겠습니다.","동구 소재 노상주차장 주차면 재도색<br> - 대상주차장 : 영남일보 앞, 신천초 앞, 보성주택 앞, 동원빌딩, 동호정형외과 앞<br>                총 211면 정도"
111,,상징조형물 설치로 희망달서 이미지 개선,대구의 출입문인 중부내륙고속도로 및 신천대로를 이용하는 시민들에게<br>자부심을 느낄수 있는 상징조형물을 조성하여 개발하였으면 함,위치: 중부내륙고속도로지선  교통섬 (성서 홈플러스에서 중부내륙고속도로 사이 교통섬)<br>내용: 상징 조형물 설치<br>    - 주변환경과 어울리는 상징조형물을 조성하여  지역명소로 활용<br>    - 주위 관목이나 꽃을 심어 녹지공간으로 조성
112,공원녹지과,꽃보라 동산 꾸미기,"1. 벚꽃시즌에 많은 관광객들이 모이는데 신천동로 쪽에 일부만 난간이 조성되어 위험해 보이고 안전사고가 우려됨.<br>2. 벚꽃시즌 뿐만 아니라 다른 계절에도 꽃보라동산 이름처럼 다른 꽃을 심고, 노후된 벤치를 새롭게 디자인 및 설치하여 시민들이 좀더 자주 방문하는 공간이 되길 바람.",1. 안전 난간 설치<br>2. 계절 꽃 심기. 노후벤치 새롭게 디자인 및 설치
113,,신천(파동 태왕리더스아파트앞) 분수대 설치,파동 주민들의 복지증진과 여과활동 및 삶의 질의 향상을 위해서 <br>신천(파동)태왕리더스 앞  분수대 설치를 제안함,신천 파동 태왕리더스 앞 분수대설치와 조형물 등을 설치
114,,대프리카를 대비하는 바닥분수 설치요청,"-대구의 더운 여름을 피하기 위한 방편 및 시민들의 휴식공간 제공으로 대구시 곳곳에 물놀이터 및 바닥분수가 설치되어 있으나 무태조야동의 경우 공공에서 운영하는 바닥분수나 물놀이터 시설이 없어 이용이 어려움이 있음<br>-무태조야동의 경우 미취학, 초등아동이 많이 있음에도 불구하고 여름철 바닥분수나 물놀이터 시설이 없어 칠곡이나 침산동 쪽으로 이동해야 하는 번거로움이 있음<br>-현재 동화교~동변교 부근 신천(동화천)공원 조성 공사를 하고 있는 중이라 공사 중에 바닥분수 설치까지 하면 공사 효율성도 높을수 있을 것임","1. 사업지역 : 무태조야동 동변교 인근 신천(동화천)<br>2, 사업내용 : 무태조야동 동변교 인근 신천(동화천)바닥 분수 설치"
115,문화콘텐츠과,"신천이 흐르고, 음악이 흐르는 꽃보라의 봄 개최","꽃보라동산은 3월 중순이면 이미 벚꽃이 많이 피는 아름다운 곳이다.<br>타 지역에 비해 일찍 벚꽃이 피고, 예쁜 포토존들이 있어 어린이와 가족, 연인들이 <br>봄날 벚꽃구경과 사진을 찍기 위해 많은 인파가 몰린다.<br>특히, 대구시의 랜드마크인 시청별관과 경북대학교가 가까이 위치하고 있어  방문객들이 더욱 많다. 이 시즌에 꽃보라동산의 벚꽃과 신천의 물소리를 배경으로 하는 <br>‘꽃보라 음악회’를 들을 수 있으면 더욱 행복한 벚꽃나들이가 될 것이다.","벚꽃이 개화하는 3월말에서 4월초 쯤(1~2일정도)<br>꽃보라 동산에서 악기 연주, 노래 등 꽃보라 음악회 개최"
116,,신천 및 금호강 공공자전거,"자전거 이용률 증가를 통한 시민 건강 증진, 자전거길 이용 활성화","신천 및 금호강 자전거길 일대에 공유자전거 거치대 설치 후 소정의 사용료를 받고 자전거를 대여.  기존 대여위치와 상관없이 다른 거치대에도 반납을 할 수 있도록 운영(서울 따릉이, 창원 누비자와 유사한 형태)"
117,공원녹지과,신천대로 운전자 시야 획보 및 꽃가루 감소를 위한 김광석 거리 가로수 정비,"1. 최근 미세먼지로 인한 호흡기 및 기관지 장애들이 많이 발생합니다.<br>특히, 알러지 비염이 심한 어린이들이나 천식 환자는 4~5월이 외출을 할 수 없을 정도로 심각합니다.<br> 김광석 거리에는 꽃이피는 플라타너스 등의 가로수가 많이 식재되어있어 꽃가루가 솜털 처럼 날리고 노란 가루가 많이 발생되고 있습니다.<br>김광석 거리는 가족 단위 방문객들도 많고 길거리 음식도 많이 판매되는 곳으로 이 곳 상인들은 매일 물을 뿌려가면서 영업을하고 있습니다.<br>매년 봄철 황사,미세먼지가 점점 심해져 환경문제가 심각하게 대두되고 있는데 가로수 마저 꽃가루가 많이 날리는 수종으로 식재되어있어 더욱 심각해지는 것 같습니다.<br>김광석 거리를 찾는 많은 시민들의 고통을 조금이라도 덜어주기 위해 가로수의 이식 및 제거를 요청드립니다.<br>2. 신천대로에서 대백프라자로 가는 길에 우측 편 가로수들의 수령이 오래되어  운전자의 시야를 방해합니다.<br>교통에 직접적인 방해가 되지는 않으나 관광명소인 김광석 거리가 가로수에 가려져 있습니다.<br>김광석 거리 공연장과 연결되어 있는 길도 오래된 수종의 가로수가 있어 시민들이 편하게 접근할 수 있는 잔디가 더 효용이 좋을 것 같아 가로수의 이식 및 제거를 요청드립니다.","제목 : 김광석 거리 가로수 이식<br>내용 : 꽃가루 산개로 인한 시민 불편 감소안 마련<br>       관광명소 가시화 방안 마련  <br>대안 : 가로수 제거 후 잔디 식재 또는 미세먼지 저감에 유리한 수종 식재<br>       (용송 ․ 반송 ․ 눈측백나무, 눈주목 ․ 눈향나무 ․ 눈잣나무....)<br>       가로수 제거 자리에 꽃길 조성 <br>       벽면 펜스쪽에 개나리 식재"
118,자원순환과,환경용 cctv 설치 요청합니다,환경용 cctv 설치로 불법 쓰레기 무단 투기 사전 예방,대구 동구 동대구로 462 닭곱새 주차장 들어가는 방향쪽에 불법 투기가 너무 많아 악취가 너무 심하고 미관에도 좋지 않습니다.<br>이 곳은 신천4동 불법 투기 상습 지역으로 자주 구청에 민원도 넣고해서 담당부서에서 신경도 쓰고 있지만 불법투기가 근절이 되지 않네요~~ 이 지역에 환경용  cctv 설치 강력히 요청합니다
119,,공중화장실 설치,"동신교 부근 신천변 차량주차장 부근에 신천 산책로 및 주차장, 농구 등을 이용하는 시민들이 많으나 공중화장실이 없어 노상 방뇨 등을 하여 악취  발생 및 신천 이용객 불편 초래",○ 공중화장실 1식 설치
120,,특색있는 야간경관으로 밝혀주세요,고가도로에 조형물 및 조명을 설치하여  차분한 야간 경관 형성<br>고가도로시설물의 효율적 활용 도모,"성서쪽에서 시내로 진입하는 중부내륙고속도로, 신천대로 고가 육교 밑 정비<br>- 2개의 고가도로 벽면 조형물 및 야간경관조명 설치<br> - 소비전력이 낮은 조명등(LED), 조명탑  설치<br>- 지루함을 없앨수있는 특색있는 조형물 설치<br>- 육교밑 특색있는 조형물 및 화단 조성<br><br>○ 현재 너무 무미건조한 특색없는 조형물과 칙칙한 분위기를 개선할 필요가 있음."
121,농산유통과,신천생태환경공원 조성사업,"신천둔치 반려동물 공원조성 및 반려동물산업협동조합 창업, 등을 통하여 <br>반려동물산업진흥 및 주민공동체사회 의식 구축",* 신천둔치 반려동물 휴게소 설치 및 조성<br>* 신천둔치 환경콘서트 개최<br>* 반려동물협동조합 창업<br>* 신천을 찾는 주민들을 대상으로 한 주기적 환경교육 및 캠페인 개최
122,,신천변 둔치 그늘막 설치,"생활체육과 많은 이들의 휴식 공간인 신천변에 그늘막을 설치하여<br>사계절 신천을 이용하고, 도심속 쉼터를 제공함",신천변 워킹존에 그늘막 설치하여 시민들의 편의 제공
123,,신천둔치 비가림 시설 설치,신천을 이용하는 시민들의 편의를 위한 비가림 시설 설치,비가림 시설 3식
124,,신천둔치 통로 환경개선,신천을 이용하는 시민의 편의 제공과 환경 개선을 통해 도시 이미지 제고,통로 입구 친환경 데크 설치<br>기존 벽화 교체<br> LED 조명등으로 교체
125,체육진흥과,신천둔치(중동교 부근) 게이트볼장 인조잔디 조성,안전하고 쾌적한 게이트볼 장 조성으로 생활체육 활성화 및 주민건강 증진,"인조잔디 조성 A=1,400제곱미터(인조잔디, 배수로 등)"
126,,각 동별 공영주차장 설치사업,"각 동별 주차문제 해결(신천4동, 효목2)",200 ~ 300평 내외면 이웃간의 분쟁문제를 해결 할 수 있습니다.
127,,밝고 안전한 체육환경을 부탁해요!,○ 경대교 다리 밑을 지나 신천주변으로 운동하는 사람이 많은데 올해 초 강간사고가 발생했다고 함<br>○ 사람과 자전거 등이 통행하도록 만들어 둔 곳도 경대교 다리 밑부분이 너무 어두워 범죄발생의 위험이 높음,○ 조명설치 : 15백만원<br>○ 벽화 : 10백만원<br>○ 벤치 등 부대시설 : 5백만원
128,,신암지하차도 보도 벽면 벽화사업(2차 - 신천역 8번출구 방면),"신암지하차도 보도 벽면에 타일벽화를 조성할 계획이 있다고 들었는데, 1번 출구 방면만 진행이 된다고 하여, 형평성 및 디자인의 일체성을 위하여 8번 출구 방면도 진행하면 좋겠다.",타일벽화 추가조성
129,,신천 청아람아파트 정문 방범용 CCTV 설치 요청,방범용 CCTV 설치 요청,해당 지역은 인근에 주택이 많고 빈집털이가 빈번하고 아파트 유동인구도 많음.<br>신천초등학교가 있어 아동범죄가 예상됨.<br>방범용 CCTV 설치하여 범죄 예방 및 어린이 보호 필요
130,,신암지하차도 밤길이 너무 무섭습니다. 방범용 CCTV 양방향으로 설치 해주세요,동신초등학교 옆 신암지하차도 양방향 CCTV 설치 요청,신암지하차도 밤에 너무 어두움. 20대 딸을 두고있는 엄마로써 밤에 불안함.<br>지하차도 안쪽(기찻길 바로 아래)에 방범용 CCTV를 설치하여 범죄사각지대 해소 요망.<br>신천역이 있어 지역 주민들의 주요 길목이고 동신초등학교가 있어 어린이 보호용으로도 활용 가능.
131,체육진흥과,신천4동 동대구체육공원 경관조성(제안자 수정),신세계백화점(동대구복합환승센터) 근처에 있는 동대구로 체육공원 환경(경관) 조성해주세요,"신천4동은 동대구복합환승센터와 신세계 백화점 등 상업, 문화시설이 밀접한 곳으로 유동인구 많은 동네입니다. 거기에 비해 여러가지 환경 조성은 많이 부족한 편이였습니다.<br> <br>요즘 동부로30길쪽이 이색적인 먹거리 촌으로 대구의 핫플레이스로 떠오르고 있고 위치상 지역민뿐만 아니라 타지역민들도 많이 방문하는 지역이 되었습니다.<br><br>지역 위치상의 장점에도 불구하고 관내 유일의 체육공원의 특색이 없으니 경관 조성을 통해 아름답고 활력 넘치는 공원이 될수 있도록 환경(경관)개선을 요청합니다 <br><br>- 화장실 벽면 벽화조성<br>- 아트조형물 설치 <br>- 야간 경관조명 설치 <br>- 화초류 식재 등"
132,,신천둔치 체육시설 확충 및 보강해 주세요,신천둔치 거의매일이다시피 운동시설을 사용하는데 <br>사용하는 구민에 비해 운동기구가  많이 부족함,"신천둔치 이용자를 위한 체육시설이 설치되어 있는 장소와의 간격이 멀고,<br>체육시설의 종류가 다양하지 못하거나, 이용자가 선호하는 운동기구가 적어 이용하는 데에 불편함이 있음.<br>이에 신천둔지의 체육시설이 설치되어 있는 공간을 확충하여<br>신천둔지에서 운동하는 이용자가 집에서 멀지 않은 곳에서도 운동기구를 사용할 수 있으면 함."
133,,신천동로 게이트볼장 인근 정자에 온열(난방)벤치 설치,"신천둔치에 위치한 신천게이트볼장은 평소 이용 어르신들이 많으며, 운동기구도 설치되어 있어 주변 주민들의 이용이 잦으나. 동절기에는 신천 강바람 등 추위탓에 어르신들이 활동하기엔 다소 무리가 있음",운동하며 잠시나마 몸을 따뜻하게 데울수 있는 온열(난방)벤치를 설치한다면 계절 상관없이 어르신들의 이용률이 높일 수 있을 것으로 판단됨
134,공원녹지과,신천동로 제방 경사면 녹지공간 조성,"○ 해당 지역은 행인 및 인근 주민들의 무단 쓰레기 투기, 우거진 잡목 등으로 관리가 제대로 이루어지지 않아 주민 불만이 많아왔던 곳임<br>○ 일부 구간의 경우, 공사를 진행하면서 노면이 그대로 드러나있어 식물 식재를 통한 녹지 공간 마련이 필요함<br>○ 마을 대청소시 주민들이 함께 봉사하는 등 힘쓰고 있으나 역부족임<br>○ 색감있는 꽃 등을 심어 녹지공간을 조성하고 관리하여 도시 미관을 개선할 필요가 있음",○ 잡목 제거 및 식물 식재:<br>- 잡목 및 수목 제거 <br>- 식물 식재 및 녹지 조성
135,,신천대로 적재불량 단속용 CCTV 설치,자동차 전용도로인 신천대로 이용시 각종 낙하물로 인한 차량 사고가 빈번하게 일어나고 있어 이를 개선하기 위하여 상기 위치에 적재불량 단속용 CCTV를 설치하여 안전하고 깨끗한 도로 환경 조성,화물차량 통행이 많은 신천대로 서대구 육교~매천대교지하차도 구간에 양방향으로 차량번호 인식 CCTV를 설치하여 적재불량 차량 통행 근절
136,,한번더! 신암지하차도 보도 벽화 그리기~,우리동 통장님께서 신암지하차도 1번 출구 방면쪽 보도 벽면에 예쁜 타일 벽화가 그려진다고 하셨습니다. 예산부족으로 한쪽만 진행될 예정이라고 합니다. 이는 인근지역 주민이 소외감도 느낄 수 있고 형평에도 맞지 않다고 생각됩니다. 8번 출구 방면에도 타일벽화가 그려졌으면 희망합니다.,신암지하차도는 최근 공사가 완료되어 도로도 확장되고 환경이 좋아진 공간입니다. 하지만 교각내부는 여전히 어두워서 지하철 신천역을  이용하는 주민들에게는 동굴을 통과하는 느낌만 갖게 합니다. 행복하게도 동신초교쪽 지하차도 내부는 올해 부분 타일 벽화를 시공한다고 들었습니다. 맞은편은 이안아파트 신설로 입주민의 이용빈도가 잦아질 것으로 생각되지만 예산이 부족하여 양방향 시공이 어려운가 봅니다. 이런 좋은 기회에 주민의 제안으로 주민참여예산으로 채택되어 형평성 있는 행정지원이 이루어진다면 더불어 행복해 질 것 같습니다. <br>교각 내 보도 벽면(가로*세로=2m*2.1m)은 총 19개소(38m*2.1m≒79.8㎡)로 동신초교쪽에 시공될 타일벽화 디자인의 통일성을 감안하셔서 시공되었으면 합니다.
137,문화예술정책과,신천의 버스킹공연장,운동과 휴식을 위해 수성구 남구민들이 많이 거치는 파동교 아래는 재해의 위험도 적고 소음의 피해도 없는 곳으로 버스커들의 공연시설을 만들어 공연을 실시 함에 노인분들의 화투 놀이장이었던곳을 주민들의 볼거리 즐길거리를 제공함에 있다.,신천엔 물이 흐르고 공연장엔 음악이 흐르는 휴식공간을 제공
138,,신천공원(팔운동기구 설치 요망), ,"신천 냇가 (공원 : flood plaim) 운동가구 (팔올림 내림 시설없음) , 자전거 기초교육장옆( 동변근처 : 수성구에만 팔운동 설치되어있음)"
139,,마음의 고향을 신천을 따라 그리다!,"우리 대구는 신천 살리기 운동으로 ＂물의 도시＂로서의 이미지를 개선하고 있습니다. 신천의 물길을 열어 수질도 개선되었고, 물길을 따라 수변공원이 조성되어 주민의 휴식처로 제 역할을 하고 있습니다. 하지만 신천동로를 지나다 보면 오래된 신천가람타운 벽면에는 회색빛만 가득합니다. 이에 아파트 벽면에 신천의 물길을 벽화로 옮겨 진정한 물의 도시! 아름다운 도시! 대구의 이미지를 홍보하고 마음의 고향! 신천의 향수를 많은 지역민이 공유하기를 기대합니다.",지난해 신암2동에 거주하는 이웃이 신천가람타운의 벽화시공을 요청하였습니다. 하지만 신천가람타운과 인근 아파트의 대구시 도시재생 벽화사업과 중복된다는 이유로 배제된 것으로 알고 있습니다. 신천가람타운 입주자대표회의를 통해 아파트 입주민의 동의를 얻고 신암2동 지역민의 뜻을 모은 제안사업이 배제되어 무척 실망하였기에 다시한번 이 기회에 제안합니다. 신천은 대구판관 이서의 스토리와 6.25전쟁 당시 피란민들의 애환이 수면위에 깃들어 있다고 합니다. 이러한 스토리를 대구를 대표하는 팔공산과 물의 이미지와 함께 조화시켜 현대적인 벽화를 그렸으면 하는데 면적이 86m*2.4m(가로*세로)로 예산이 많이 소요된다면 부분도색과 부분타일을 활용하는 방법도 좋을 것 같습니다.
140,,공원이 생기면 안전이 필수죠!방범용 CCTV설치해주세요,"우리 신암2동의 신천자이아파트와 신천가람아파트, 신천1.2동의 신천LH와 송라아파트의 오랜 숙원사업인 경부고속철도 복개구간 환경개선사업이 드디어 착공되었습니다. 여름이 되면 아름다운 미니 숲이 조성되어 어느 동보다 살기 좋고 아름다운 공간이 만들어지리라 기대하고 있지만 한편으로는 비행이나 범죄발생 우려도 됩니다. 안심하고 산책할 수 있도록 방범용 CCTV 설치를 제안합니다.",신암로16길 25(신천자이 105동 앞) 경부고속철도 복개구간 환경개선사업 추진중인 지역에 방범용 CCTV 1~2대가 설치 요구
141,,소통의 길! 빛을 밝히다!,예전부터 경부고속철도는 인근 지역의 소통을 막고 소음공해를 유발하여 지역 이기주의로 말미암아 거주민의 기피시설로 여겨져 왔습니다. 지하철을 타기 위해 신천동로 옆 보행자 도로를 자주 이용하는 저는 이 공간에 밝은 LED 조명과 화사한 벽화가 그려진다면 경계의 철도가 아닌 소통의 다리로 재탄생할 것 같아 제안합니다.,신성교 ~ 신천교 방향 신암2동과 신천1.2동을 잇는 (신암로16길 33 신천가람아파트 101동 끝부분) 경부고속철도 신천동로 보행자도로 나무 난간에 LED 조명 설치 및 벽화 시공<br>가로 * 세로 = 31m * 2.1M
142,,과속단속카메라 설치,신천동 장등로81(태양칼국수 앞)도로 차량 과속으로 인하여 빈번한 교통사고를 유발하오니 과속 단속 카메라 설치 요청합니다,신천동 장등로81(태양칼국수 앞)도로 차량 과속으로 인하여 빈번한 교통사고를 유발하오니 과속 단속 카메라 설치 요청합니다
143,,신천3동행정복지센터 앞 버스정류장 버스정보안내기 설치,주민이용편의증진,버스정류장 버스정보안내기가 없어서 이용에 불편하오니 조속히 설치해 주시기 바랍니다
144,자원순환과,환경용 cctv설치 요청,신천동 만복이 쭈꾸미 옆 골목에 불법 투기가 많아요~~환경용 CCTV요청함,신천동 만복이 쭈꾸미 옆 골목에 불법 투기가 많아요~~환경용 CCTV요청함
145,체육진흥과,신천4동 동대구 체육공원 경관 조성,신세계백화점 근처 동대구체육공원내 경관 조성해주세요,- 화장실 도색(벽화 등)<br>- 화단 조성 및 잔디등 조성 등
146,,신천동로 옆 아파트 앞 방음벽 설치하기,"아파트 베란다에서 2m도 안되는 인도도 있고 2차선 도로와 4차선 동로(총 6차선)가 있습니다. 소음과 매연이 많아 주민들이 불편을 많이 호소하고 있습니다. 베란다 문을 열면 대화가 어렵고 tv를 시청하기가 어려울 정도로 시끄럽습니다,  소음과 먼지가 많아 배란다 문을 한번도 열지 못하는 세대도 있습니다. 아파트를 사랑하는 주민들(특히 어르신과 어린이)의 건강과 안위를 지켜주시길 간절히 바랍니다.",동신교 다리에서 동서맨션 앞으로 1m가 안되는 난관이 있는데 그 위에 철근으로 뼈대를 세우고 투명 아크릴을 동로 쪽으로 약간 휘어지게 하면 소음이나 미세먼지가 조금이라도 차단이 될거라 예상됩니다.
147,,신천대로팔달교에서침산교구간중앙녹지대경계석 흙막이설비설치,"신천대로 팔달교에서 침산교구간 중앙녹지대에서 비가 오면 흙이 도로를 흘러내려 흙탕물등으로 인해 배수구 막힘이나 차량오염이 빈번하게 발생하고 특히 차량 주행시 흙탕물을 피해서 운전하여 옆차선 차량과 안전사고 발생 우려가 있으며,흙으로 인한 미세먼지 발생","중앙녹지대 경계석에 방부목(방부데크제)등을 보강해 흙이 흘러내리지 않도록 함<br>*공사비용:1m x \25,000원x2,000m=\50,000,000원"
